"Specification","Country","Year","Sequence","Period","Ny","No","n","p","p1","eta","AK","AL","k1","k2","k","X","L","w","r","Y","u","theta","tau","b","h","S","K","alpha","gamma","phi","sigma","a","omega","beta","A"
"fillgap","France",1970,1,1,1.48550559563973,0.546489342702738,1.13420764298084,0.417253486705376,0.583439336814264,3.84625995412632,1,1,NA,NA,1.00716566875034,0.156235668491095,0.992885312741814,17.4681594017823,6.42296057002114,23.7668394806836,0.331617924795342,0.729751169681549,0.33749,9.89890817350569,5.75430747829532,4.59472907330485,1,0.66897175856968,0.5,0.270248830318451,1,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",1980,2,1,1.61880130424307,0.516253298645703,1.39082300545825,0.443548545777756,0.612781620210724,4.49951282919422,1,1,NA,NA,1.92962445467161,0.156235668491095,0.90996119520782,20.823696088968,3.99644688727146,25.9660500304928,0.437879625607724,0.729751169681549,0.406863304782705,10.5647766784433,5.95811297079852,5.44508739614684,1.75588337507522,0.66897175856968,0.5,0.270248830318451,1,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",1990,3,1,1.76238219028369,0.628505945581033,1.36164150128402,0.485592616644142,0.666510958052407,4.12627515927989,1,1,1.42757947459685,0.174585519920012,3.141,0.164834236846561,0.800999885782882,22.5865073177963,3.51664314045702,26.9394551796169,0.54550159993733,0.671572222272623,0.480875655287242,9.94337629483719,5.40192526355751,5.84416069666866,2.51594064124403,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",2000,4,1,1.81959142137297,0.693625743497129,1.37651312106404,0.52472490572151,0.683436019881079,3.89048538894652,1,1,1.77778716183384,0.222431314236466,3.9,0.171714826558603,0.82944776120509,23.8580767702113,3.15321524893537,29.989194946137,0.544157137991322,0.659871943853565,0.477737911047501,10.4941950416409,5.67483934300393,6.50276990508656,3.23484626869985,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",2010,1,2,1.97324079979518,0.866702399553922,1.32832942910956,0.583439336814264,0.685327857682168,3.37942040883403,1,1,2.32851919227586,0.397146591988224,4.585,0.176990009669661,1.00212193529004,24.8866615752331,2.90993107708759,38.3098143818886,0.492144123822058,0.650994265126781,0.440202309237234,11.6716420523617,6.37994885372797,7.95161430517031,4.59472907330485,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",2020,2,2,1.83717278352147,0.991971686013303,1.13489702454898,0.612781620210724,0.707316362457828,2.77677760931085,1,1,2.96384066049017,0.8913939052268,4.736,0.17805978011064,1.14972284547019,25.1011919792437,2.86389309643451,44.4535620703771,0.374189049727583,0.649203630102365,0.368734676692045,13.2609885063916,7.33418525265759,8.77958158853927,5.44508739614684,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",2030,3,2,1.85812632086635,1.17464704210048,1.05432654228493,0.666510958052407,0.742598301973306,2.40968991653152,1,1,3.1451902010321,1.597889297878,4.11,0.173412345905728,1.42193690916513,24.1838358448798,3.07184766565152,52.3402601867792,0.234746909724549,0.657006454884061,0.297247160843027,14.2894584580246,7.9386257537377,10.0893974992175,5.84416069666866,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",2040,4,2,1.81585672907761,1.24357431883289,0.997947510495219,0.683436019881079,0.773731138264388,2.25530096863527,1,1,3.5811029587063,2.09853208563764,4.431,0.175866912449841,1.46756260552619,24.663622625207,2.95941492537251,55.4398045949399,0.191807050619206,0.65287766697625,0.278766033089851,14.919525426442,8.24908589269499,10.6759819026262,6.50276990508656,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",2050,1,3,1.92115195712475,1.35231689001468,0.973602389188466,0.685327857682168,0.800578416558011,2.22017595712673,1,1,4.13898248687779,2.23859945338153,5.293,0.181764714825019,1.5022887408219,25.8601892723348,2.71228686714015,60.416530231829,0.218027113758211,0.643027181969562,0.292446052804231,15.2563921970031,8.33993449973775,11.8159058274433,7.95161430517031,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",2060,2,3,1.84621643783986,1.29946237044693,1.00492259323647,0.707316362457828,0.819853976974278,2.23900358479586,1,1,4.75544546597781,2.16212384897065,6.523,0.188868417598312,1.34594229473237,27.3878396509668,2.45223453318121,58.3920449058824,0.270972640506238,0.63129235852247,0.31820752599216,15.4591449002839,8.34728109535734,11.6411543549353,8.77958158853927,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",2070,3,3,1.87868886093398,1.37984145072725,1.01106627673088,0.742598301973306,0.858609575026038,2.18158881896264,1,1,5.37044622397006,2.40613167779977,7.421,0.193344845549516,1.35957384438991,28.4019734942934,2.30646059837107,61.8853780851456,0.276317716753799,0.623969368640982,0.321695054507155,15.8783328554411,8.45426048565491,12.563026905452,10.0893974992175,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
"fillgap","France",2080,4,3,1.83170370187444,1.40498489391427,1.00872699511094,0.773731138264388,0.897365173077799,2.12336349878076,1,1,5.82844370063844,2.68954676894413,7.969,0.195847205571646,1.33968903283049,28.98707979477,2.23037312522558,62.6450960158477,0.268610402730777,0.619899646813722,0.318841658075582,16.2329400592989,8.5317797401473,12.9187176618738,10.6759819026262,0.66897175856968,0.5,0.270248830318451,1.32090084649343,NA,0.982570839854923,0.739004473921546,23.891
