"COU","Country","FREQ","Frequency","SOURCE","Source","SERIES","Series","MEAS","Measure","_TIME_","Year","Value","Flag Codes","Flags"
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1963","1963",9.41754091481326,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1964","1964",11.4929750317393,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1965","1965",11.5369873514757,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1966","1966",11.726618705036,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1967","1967",12.4013157894737,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1968","1968",12.1176470588235,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1969","1969",12.5176205243868,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1970","1970",12.6268019220502,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1971","1971",12.668875860311,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1972","1972",12.8589263420724,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1973","1973",13.1952805201059,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1974","1974",14.7614761476148,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1975","1975",15.7861502841507,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1976","1976",16.4591439688716,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1977","1977",16.7133356667833,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1978","1978",16.9016340916373,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1979","1979",16.7927149251428,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1980","1980",14.6658415841584,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1981","1981",14.6404239212718,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1982","1982",14.3880684310572,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1983","1983",14.0864714086471,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1984","1984",13.2485912724414,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1985","1985",12.3889437314906,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1986","1986",12.2850705561485,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1987","1987",13.7852246763138,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1988","1988",17.7627471383975,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1989","1989",18.5948026948989,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1990","1990",17.2328767123288,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1991","1991",15.4115736387725,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1992","1992",14.5675902602855,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1993","1993",13.9567983924983,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1994","1994",13.2943344819296,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1995","1995",12.5203504147608,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1996","1996",12.1136363636364,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1997","1997",11.0713219934348,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1998","1998",11.402081977879,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1999","1999",11.6954907999684,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2000","2000",11.4296407185629,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2001","2001",11.486931693389,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2002","2002",11.3250123404555,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2003","2003",10.7621699311915,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2004","2004",10.3195224954848,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2005","2005",9.91748598974008,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2006","2006",10.0253366429591,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2007","2007",10.5697522244695,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2008","2008",10.2798894263994,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2009","2009",9.9673629639534,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2010","2010",9.68144909431605,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2011","2011",9.88670525547361,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2012","2012",10.055272949001,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2013","2013",10.1568039044337,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2014","2014",10.1640656262505,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2015","2015",10.0833081987332,,
"KOR","Korea","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","2016","2016",10.0581181189375,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2000","2000",14.0204736606497,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2001","2001",14.0224562933222,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2002","2002",12.5985929933334,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2003","2003",11.0281020336113,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2004","2004",9.41684526692136,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2005","2005",8.66086436530576,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2006","2006",8.41995410484467,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2007","2007",7.57909193412333,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2008","2008",6.20741593819709,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2009","2009",7.59879130540431,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2010","2010",8.17526928550263,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2011","2011",6.97616830044857,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2012","2012",6.02228073303126,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2013","2013",5.62669649597326,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2014","2014",5.29057875613522,,
"EST","Estonia","A","Annual","SVY","Survey data","TUD","Trade union  density","PCT","Percentage","2015","2015",4.48694806748442,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1960","1960",53.369341563786,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1961","1961",60.5647241230228,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1962","1962",60.1866091793628,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1963","1963",58.5492546211313,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1964","1964",58.9961456574689,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1965","1965",58.2087308770781,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1966","1966",58.0549574135701,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1967","1967",57.5459288390292,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1968","1968",56.1121951340511,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1969","1969",55.3154325662903,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1970","1970",56.2839114924147,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1971","1971",56.3298005507803,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1972","1972",56.3118758274555,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1973","1973",59.0607675395449,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1974","1974",59.4170568388153,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1975","1975",60.9692937517478,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1976","1976",61.0245404497527,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1977","1977",62.7899426127582,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1978","1978",65.7479850737838,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1979","1979",68.9756097560976,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1980","1980",69.1190706679574,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1981","1981",65.6757374799908,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1982","1982",63.641323274219,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1983","1983",61.1587346474379,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1984","1984",55.2676982376943,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1985","1985",53.5780116812779,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1986","1986",51.3172793840115,,
"NZL","New Zealand","A","Annual","ADM","Administrative data","TUD","Trade union  density","PCT","Percentage","1987","1987",50.4068716094033,,
